word,level,pos_x,headword_x,pos_y,CEFR_x,CoreInventory 1,CoreInventory 2,Threshold,headword_y,pos,CEFR_y,notes,ID,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,FREQ*DISP,Core Inventory,EGP,GSELO,Notes,AfterDot,Shorthand Split,Shorthand Clean
a,A1,article,a,determiner,A1,,,,,,,,13,DT.a.an,INDEFINITE ARTICLES,,A1.1,A1,A1-B2,A1,A1,,a.an,a,a
about,A1,"preposition, adverb",about,adverb,A1,,,,,,,,,,,,,,,,,,,,
about,A1,"preposition, adverb",about,preposition,A1,,,,,,,,,,,,,,,,,,,,
above,A1,"preposition, adverb",above,adjective,B1,,,,,,,,,,,,,,,,,,,,
above,A1,"preposition, adverb",above,adverb,A1,,,,,,,,,,,,,,,,,,,,
above,A1,"preposition, adverb",above,preposition,A1,,,,,,,,,,,,,,,,,,,,
across,A1,"preposition, adverb",across,adverb,A2,,,,,,,,,,,,,,,,,,,,
across,A1,"preposition, adverb",across,preposition,A2,,,,,,,,,,,,,,,,,,,,
action,A1,noun,action,noun,A1,,,,,,,,,,,,,,,,,,,,
activity,A1,noun,activity,noun,A1,Leisure activities,,"Free time, entertainment",,,,,,,,,,,,,,,,,
actor,A1,noun,actor,noun,A1,Work and Jobs,Film,Personal identification,,,,,,,,,,,,,,,,,
actress,A1,noun,actress,noun,B1,Work and Jobs,Film,Personal identification,,,,,,,,,,,,,,,,,
add,A1,verb,add,verb,A1,,,,,,,,,,,,,,,,,,,,
address,A1,noun,address,noun,A1,Personal information,,Personal identification,,,,,,,,,,,,,,,,,
address,A1,noun,address,verb,B1,,,,,,,,,,,,,,,,,,,,
adult,A1,noun,adult,adjective,A2,,,,,,,,,,,,,,,,,,,,
adult,A1,noun,adult,noun,A2,,,Personal identification,,,,,,,,,,,,,,,,,
advice,A1,noun,advice,noun,A2,,,,,,,,,,,,,,,,,,,,
afraid,A1,adjective,afraid,adjective,A1,,,,,,,,,,,,,,,,,,,,
after,A1,preposition,after,adverb,A2,,,,,,,,,,,,,,,,,,,,
after,A1,preposition,after,conjunction,B1,,,,,,,,,,,,,,,,,,,,
after,A1,preposition,after,preposition,A1,,,,,,,,,,,,,,,,,,,,
afternoon,A1,noun,afternoon,noun,A1,,,,,,,,,,,,,,,,,,,,
again,A1,adverb,again,adverb,A1,,,,,,,,,,,,,,,,,,,,
age,A1,noun,age,noun,A1,Personal information,,Personal identification,,,,,,,,,,,,,,,,,
ago,A1,adverb,ago,adverb,A1,,,,,,,,,,,,,,,,,,,,
agree,A1,verb,agree,verb,A1,,,,,,,,,,,,,,,,,,,,
air,A1,noun,air,noun,A2,,,,,,,,,,,,,,,,,,,,
airport,A1,noun,airport,noun,A1,Travel and services vocab,"Things in the town, shops and shopping",Travel,,,,,,,,,,,,,,,,,
all,A1,"determiner, pronoun",all,adverb,A2,,,,,,,,,,,,,,,,,,,,
all,A1,"determiner, pronoun",all,determiner,A1,,,,,,,,,,,,,,,,,,,,
all,A1,"determiner, pronoun",all,pronoun,A1,,,,,,,,,,,,,,,,,,,,
also,A1,adverb,also,adverb,A1,,,,,,,,,,,,,,,,,,,,
always,A1,adverb,always,adverb,A1,,,,,,,,,,,,,,,,,,,,
amazing,A1,adjective,amazing,adjective,B1,,,,,,,,,,,,,,,,,,,,
and,A1,conjunction,and,conjunction,A1,,,,,,,,49,COMP.and,COMPARATIVE and COMPARATIVE (the same adjective),,,B2,,B1,B1,,and,and,and
angry,A1,adjective,angry,adjective,A1,,,,,,,,,,,,,,,,,,,,
animal,A1,noun,animal,noun,A1,,,,,,,,,,,,,,,,,,,,
another,A1,"determiner, pronoun",another,determiner,A1,,,,,,,,17,DT.another,DETERMINER: another,,A2.1,A1,A2,B1,A2,代名詞としての用法も含まれる,another,another,another
another,A1,"determiner, pronoun",another,pronoun,A2,,,,,,,,17,DT.another,DETERMINER: another,,A2.1,A1,A2,B1,A2,代名詞としての用法も含まれる,another,another,another
answer,A1,"noun, verb",answer,noun,A1,,,,,,,,,,,,,,,,,,,,
answer,A1,"noun, verb",answer,verb,A1,,,,,,,,,,,,,,,,,,,,
any,A1,"determiner, pronoun",any,determiner,A1,,,,,,,,15,DT.some.any,DETERMINERS: some/any,,A1.1,A1,A1-A2,A1,A2,代名詞としての用法も含まれる,some.any,any,any
any,A1,"determiner, pronoun",any,pronoun,A1,,,,,,,,15,DT.some.any,DETERMINERS: some/any,,A1.1,A1,A1-A2,A1,A2,代名詞としての用法も含まれる,some.any,any,any
anyone,A1,pronoun,anyone,pronoun,A1,,,,,,,,,,,,,,,,,,,,
anything,A1,pronoun,anything,pronoun,A1,,,,,,,,24,PIND.nobody.anything.etc,INDEFINITE PRONOUNS,,A1.2,A1,,A1-C1,A1,some-/every-/any-/no- + -thing/-one/-body,nobody.anything.etc,anything,anything
apartment,A1,noun,apartment,noun,A2,"Things in the town, shops and shopping",,Places,,,,,,,,,,,,,,,,,
apple,A1,noun,apple,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
april,A1,noun,april,noun,A1,,,,,,,,,,,,,,,,,,,,
area,A1,noun,area,noun,A2,Travel and services vocab,,,,,,,,,,,,,,,,,,,
arm,A1,noun,arm,noun,A1,Personal information,,Health and body care,,,,,,,,,,,,,,,,,
arm,A1,noun,arm,verb,B1,,,,,,,,,,,,,,,,,,,,
around,A1,"preposition, adverb",around,adverb,A2,,,,,,,,,,,,,,,,,,,,
around,A1,"preposition, adverb",around,preposition,A1,,,,,,,,,,,,,,,,,,,,
arrive,A1,verb,arrive,verb,A1,,,,,,,,,,,,,,,,,,,,
art,A1,noun,art,noun,A1,Hobbies and pastimes,Education,"Free time, entertainment",,,,,,,,,,,,,,,,,
article,A1,noun,article,noun,A1,Shopping,,"Free time, entertainment",,,,,,,,,,,,,,,,,
artist,A1,noun,artist,noun,B1,Work and Jobs,Arts,Personal identification,,,,,,,,,,,,,,,,,
as,A1,preposition,as,conjunction,A2,,,,,,,,157,CL.as,ADVERBIAL CLAUSE: as,,A2.1,A2,,B2,,前置詞のasも完全に排除はできない,as,as,as
as,A1,preposition,as,conjunction,A2,,,,,,,,182,PREL.as,PSEUDO RELATIVE PRONOUN: as,,,B2,,,,(助)動詞が後続するものに限定,as,as,as
as,A1,preposition,as,preposition,A1,,,,,,,,157,CL.as,ADVERBIAL CLAUSE: as,,A2.1,A2,,B2,,前置詞のasも完全に排除はできない,as,as,as
as,A1,preposition,as,preposition,A1,,,,,,,,182,PREL.as,PSEUDO RELATIVE PRONOUN: as,,,B2,,,,(助)動詞が後続するものに限定,as,as,as
ask,A1,verb,ask,verb,A1,,,,,,,,203,INDQ.ask.etc,INDIRECT QUESTION: ASK/REMIND/SHOW/TEACH/TELL,,B1.1,A2,,B1-B2,B1,SVOOの直接目的語が間接疑問のもの;動詞はask/remind/show/teach/tellに限定;間接疑問を導く接続詞はif/whether/疑問詞に限定;to不定詞が後続するものも含まれる,ask.etc,ask,ask
ask,A1,verb,ask,verb,A1,,,,,,,,209,CAUS.ask.tell_NP_to_do,ASK/TELL+NP+to+INFINITIVE,,B1.1,B1,,B1-B2,,getはget+目的語と目的のto不定詞の結合が多いため除外,ask.tell_NP_to_do,ask,ask
at,A1,preposition,at,preposition,A1,,,,,,,,,,,,,,,,,,,,
august,A1,noun,august,noun,A1,,,,,,,,,,,,,,,,,,,,
aunt,A1,noun,aunt,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
autumn,A1,noun,autumn,noun,A1,,,,,,,,,,,,,,,,,,,,
away,A1,adverb,away,adverb,A1,,,,,,,,,,,,,,,,,,,,
baby,A1,noun,baby,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
back,A1,"noun, adverb",back,adjective,A2,,,,,,,,,,,,,,,,,,,,
back,A1,"noun, adverb",back,adverb,A1,,,,,,,,,,,,,,,,,,,,
back,A1,"noun, adverb",back,noun,A1,,,Health and body care,,,,,,,,,,,,,,,,,
back,A1,"noun, adverb",back,verb,B1,,,,,,,,,,,,,,,,,,,,
bad,A1,adjective,bad,adjective,A1,,,,,,,,,,,,,,,,,,,,
bag,A1,noun,bag,noun,A1,Shopping,Clothes,Shopping,,,,,,,,,,,,,,,,,
ball,A1,noun,ball,noun,A1,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
banana,A1,noun,banana,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
band,A1,noun,band,noun,A1,Clothes,,Shopping,,,,,,,,,,,,,,,,,
bank,A1,noun,bank,noun,A1,"Things in the town, shops and shopping",,Services,,,,,,,,,,,,,,,,,
bank,A1,noun,bank,verb,A2,,,,,,,,,,,,,,,,,,,,
bath,A1,noun,bath,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
bathroom,A1,noun,bathroom,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,58,TA.PRESENT.be.AFF,TENSE/ASPECT: PRESENT (BE),AFF. DEC.,A1.1,A1,A1,A1,A1,名詞句・代名詞に続くものに限定;現在進行・受動態も含まれる,PRESENT.be.AFF,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,58-1,TA.PRESENT.be.NEG,TENSE/ASPECT: PRESENT (BE),NEG. DEC.,A1.1,A1,A1,A1,A1,名詞句・代名詞に続くものに限定;現在進行・受動態も含まれる,PRESENT.be.NEG,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,58-2,TA.PRESENT.be.INT.AFF,TENSE/ASPECT: PRESENT (BE),AFF. INT.,A1.1,A1,A1,,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;現在進行・受動態も含まれる,PRESENT.be.INT.AFF,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,58-3,TA.PRESENT.be.INT.NEG,TENSE/ASPECT: PRESENT (BE),NEG. INT.,,,A1,,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;現在進行・受動態も含まれる,PRESENT.be.INT.NEG,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,64,TA.PAST.be.AFF,TENSE/ASPECT: PAST (BE),AFF. DEC.,A1.3,A1,A1-C1,A1,,現在進行・受動態も含まれる;過去進行・受動態も含まれる,PAST.be.AFF,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,64-1,TA.PAST.be.NEG,TENSE/ASPECT: PAST (BE),NEG. DEC.,A2.1,A1,A1-C1,A1,,現在進行・受動態も含まれる;過去進行・受動態も含まれる,PAST.be.NEG,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,64-2,TA.PAST.be.INT.AFF,TENSE/ASPECT: PAST (BE),AFF. INT.,,A1,A1-C1,A1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;過去進行・受動態も含まれる,PAST.be.INT.AFF,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,64-3,TA.PAST.be.INT.NEG,TENSE/ASPECT: PAST (BE),NEG. INT.,,,A1-C1,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;過去進行・受動態も含まれる,PAST.be.INT.NEG,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,116,IMP.be.AFF,IMPERATIVE (BE),AFF. IMP.,,,,,,カンマ後を除く文頭(相当)または接続詞直後の位置・途中に句読点なし・終止符または感嘆符で終わる文に限定,be.AFF,be,be
be,A1,"verb, auxiliary verb",be,be-verb,A1,,,,,,,,116-1,IMP.be.NEG,IMPERATIVE (BE),NEG. IMP,,,,,,文頭(相当)または接続詞直後の位置・途中に句読点なし・終止符または感嘆符で終わる文に限定,be.NEG,be,be
beach,A1,noun,beach,noun,A1,Holidays,Travel and services vocab,"House and home, environment",,,,,,,,,,,,,,,,,
beautiful,A1,adjective,beautiful,adjective,A1,,,,,,,,,,,,,,,,,,,,
because,A1,conjunction,because,conjunction,A1,,,,,,,,,,,,,,,,,,,,
become,A1,verb,become,verb,A1,,,,,,,,,,,,,,,,,,,,
bed,A1,noun,bed,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
bedroom,A1,noun,bedroom,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
beer,A1,noun,beer,noun,A2,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
before,A1,preposition,before,adverb,A1,,,,,,,,,,,,,,,,,,,,
before,A1,preposition,before,conjunction,A2,,,,,,,,,,,,,,,,,,,,
before,A1,preposition,before,preposition,A1,,,,,,,,,,,,,,,,,,,,
begin,A1,verb,begin,verb,A1,,,,,,,,,,,,,,,,,,,,
beginning,A1,noun,beginning,noun,A2,,,,,,,,,,,,,,,,,,,,
behind,A1,"preposition, adverb",behind,adverb,A1,,,,behind,preposition,C1,the cause of,,,,,,,,,,,,,
behind,A1,"preposition, adverb",behind,preposition,A1,,,,behind,preposition,C1,the cause of,,,,,,,,,,,,,
believe,A1,verb,believe,verb,A1,,,,,,,,,,,,,,,,,,,,
below,A1,"adverb, preposition",below,adverb,A1,,,,,,,,,,,,,,,,,,,,
below,A1,"adverb, preposition",below,preposition,A1,,,,,,,,,,,,,,,,,,,,
best,A1,adjective,best,adjective,A1,,,,,,,,,,,,,,,,,,,,
best,A1,adjective,best,adverb,A1,,,,,,,,,,,,,,,,,,,,
better,A1,adjective,better,adjective,A1,,,,,,,,,,,,,,,,,,,,
better,A1,adjective,better,adverb,A2,,,,,,,,,,,,,,,,,,,,
between,A1,preposition,between,preposition,A1,,,,,,,,,,,,,,,,,,,,
bicycle,A1,noun,bicycle,noun,A1,Leisure activities,,"Free time, entertainment",,,,,,,,,,,,,,,,,
big,A1,adjective,big,adjective,A1,,,,,,,,,,,,,,,,,,,,
bike,A1,noun,bike,noun,A1,Leisure activities,Ways of travelling,Travel,,,,,,,,,,,,,,,,,
bill,A1,noun,bill,noun,A2,Shopping,,Shopping,,,,,,,,,,,,,,,,,
bill,A1,noun,bill,verb,B1,,,,,,,,,,,,,,,,,,,,
bird,A1,noun,bird,noun,A1,,,,,,,,,,,,,,,,,,,,
birthday,A1,noun,birthday,noun,A1,Personal information,,Personal identification,,,,,,,,,,,,,,,,,
black,A1,"adjective, noun",black,adjective,A1,,,,,,,,,,,,,,,,,,,,
black,A1,"adjective, noun",black,noun,A1,Colours,,,,,,,,,,,,,,,,,,,
blog,A1,noun,blog,noun,B1,Hobbies and pastimes,"News, lifestyles and current affairs","Free time, entertainment",,,,,,,,,,,,,,,,,
blonde,A1,adjective,blonde,adjective,A2,,,,,,,,,,,,,,,,,,,,
blue,A1,"adjective, noun",blue,adjective,A1,,,,,,,,,,,,,,,,,,,,
blue,A1,"adjective, noun",blue,noun,A1,Colours,,,,,,,,,,,,,,,,,,,
boat,A1,noun,boat,noun,A1,Ways of travelling,Leisure activities,Travel,,,,,,,,,,,,,,,,,
body,A1,noun,body,noun,A1,,,Health and body care,,,,,,,,,,,,,,,,,
book,A1,noun,book,noun,A1,Objects and rooms,,"Free time, entertainment",,,,,,,,,,,,,,,,,
book,A1,noun,book,verb,B1,,,,,,,,,,,,,,,,,,,,
boot,A1,noun,boot,noun,B1,Clothes,,Shopping,,,,,,,,,,,,,,,,,
bored,A1,adjective,bored,adjective,A2,,,,,,,,,,,,,,,,,,,,
boring,A1,adjective,boring,adjective,A1,,,,,,,,,,,,,,,,,,,,
born,A1,verb,,,,,,,,,,,,,,,,,,,,,,,
both,A1,"determiner, pronoun",both,adverb,A1,,,,,,,,,,,,,,,,,,,,
both,A1,"determiner, pronoun",both,determiner,A1,,,,,,,,,,,,,,,,,,,,
both,A1,"determiner, pronoun",both,pronoun,A1,,,,,,,,,,,,,,,,,,,,
bottle,A1,noun,bottle,noun,A1,Food and drink,,Shopping,,,,,,,,,,,,,,,,,
bottle,A1,noun,bottle,verb,B2,,,,,,,,,,,,,,,,,,,,
box,A1,noun,box,noun,A1,Objects and rooms,,Shopping,,,,,,,,,,,,,,,,,
boy,A1,noun,boy,noun,A1,Personal information,,Personal identification,,,,,,,,,,,,,,,,,
boyfriend,A1,noun,boyfriend,noun,A1,Personal information,,Personal identification,,,,,,,,,,,,,,,,,
bread,A1,noun,bread,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
break,A1,"verb, noun",break,noun,A2,,,,,,,,,,,,,,,,,,,,
break,A1,"verb, noun",break,verb,A1,,,,,,,,,,,,,,,,,,,,
breakfast,A1,noun,breakfast,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
bring,A1,verb,bring,verb,A1,,,,,,,,,,,,,,,,,,,,
brother,A1,noun,brother,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
brown,A1,"adjective, noun",brown,adjective,A1,,,,,,,,,,,,,,,,,,,,
brown,A1,"adjective, noun",brown,noun,A2,,,,,,,,,,,,,,,,,,,,
build,A1,verb,build,verb,A1,,,,,,,,,,,,,,,,,,,,
building,A1,noun,building,noun,A1,"Things in the town, shops and shopping",,"House and home, environment",,,,,,,,,,,,,,,,,
