word,level,pos
a,A1,article
about,A1,"preposition, adverb"
above,A1,"preposition, adverb"
across,A1,"preposition, adverb"
action,A1,noun
activity,A1,noun
actor,A1,noun
actress,A1,noun
add,A1,verb
address,A1,noun
adult,A1,noun
advice,A1,noun
afraid,A1,adjective
after,A1,preposition
afternoon,A1,noun
again,A1,adverb
age,A1,noun
ago,A1,adverb
agree,A1,verb
air,A1,noun
airport,A1,noun
all,A1,"determiner, pronoun"
also,A1,adverb
always,A1,adverb
amazing,A1,adjective
and,A1,conjunction
angry,A1,adjective
animal,A1,noun
another,A1,"determiner, pronoun"
answer,A1,"noun, verb"
any,A1,"determiner, pronoun"
anyone,A1,pronoun
anything,A1,pronoun
apartment,A1,noun
apple,A1,noun
April,A1,noun
area,A1,noun
arm,A1,noun
around,A1,"preposition, adverb"
arrive,A1,verb
art,A1,noun
article,A1,noun
artist,A1,noun
as,A1,preposition
ask,A1,verb
at,A1,preposition
August,A1,noun
aunt,A1,noun
autumn,A1,noun
away,A1,adverb
baby,A1,noun
back,A1,"noun, adverb"
bad,A1,adjective
bag,A1,noun
ball,A1,noun
banana,A1,noun
band,A1,noun
bank,A1,noun
bath,A1,noun
bathroom,A1,noun
be,A1,"verb, auxiliary verb"
beach,A1,noun
beautiful,A1,adjective
because,A1,conjunction
become,A1,verb
bed,A1,noun
bedroom,A1,noun
beer,A1,noun
before,A1,preposition
begin,A1,verb
beginning,A1,noun
behind,A1,"preposition, adverb"
believe,A1,verb
below,A1,"adverb, preposition"
best,A1,adjective
better,A1,adjective
between,A1,preposition
bicycle,A1,noun
big,A1,adjective
bike,A1,noun
bill,A1,noun
bird,A1,noun
birthday,A1,noun
black,A1,"adjective, noun"
blog,A1,noun
blonde,A1,adjective
blue,A1,"adjective, noun"
boat,A1,noun
body,A1,noun
book,A1,noun
boot,A1,noun
bored,A1,adjective
boring,A1,adjective
born,A1,verb
both,A1,"determiner, pronoun"
bottle,A1,noun
box,A1,noun
boy,A1,noun
boyfriend,A1,noun
bread,A1,noun
break,A1,"verb, noun"
breakfast,A1,noun
bring,A1,verb
brother,A1,noun
brown,A1,"adjective, noun"
build,A1,verb
building,A1,noun
bus,A1,noun
business,A1,noun
busy,A1,adjective
but,A1,conjunction
butter,A1,noun
buy,A1,verb
by,A1,preposition
bye,A1,exclamation
cafe,A1,noun
cake,A1,noun
call,A1,"verb, noun"
camera,A1,noun
can1,A1,modal verb
cannot,A1,modal verb
capital,A1,"noun, adjective"
car,A1,noun
card,A1,noun
career,A1,noun
carrot,A1,noun
carry,A1,verb
cat,A1,noun
CD,A1,noun
cent,A1,noun
centre,A1,noun
century,A1,noun
chair,A1,noun
change,A1,"verb, noun"
chart,A1,noun
cheap,A1,adjective
check,A1,verb
cheese,A1,noun
chicken,A1,noun
child,A1,noun
chocolate,A1,noun
choose,A1,verb
cinema,A1,noun
city,A1,noun
class,A1,noun
classroom,A1,noun
clean,A1,"adjective, verb"
climb,A1,verb
clock,A1,noun
close1,A1,verb
clothes,A1,noun
club,A1,noun
coat,A1,noun
coffee,A1,noun
cold,A1,"adjective, noun"
college,A1,noun
colour,A1,noun
come,A1,verb
common,A1,adjective
company,A1,noun
compare,A1,verb
complete,A1,"adjective, verb"
computer,A1,noun
concert,A1,noun
conversation,A1,noun
cook,A1,verb
cooking,A1,noun
cool,A1,adjective
correct,A1,"adjective, verb"
cost,A1,"noun, verb"
could,A1,modal verb
country,A1,noun
course,A1,noun
cousin,A1,noun
cow,A1,noun
cream,A1,noun
create,A1,verb
culture,A1,noun
cup,A1,noun
customer,A1,noun
cut,A1,verb
dad,A1,noun
dance,A1,"noun, verb"
dancer,A1,noun
dancing,A1,noun
dangerous,A1,adjective
dark,A1,adjective
date,A1,noun
daughter,A1,noun
day,A1,noun
dear,A1,adjective
December,A1,noun
decide,A1,verb
delicious,A1,adjective
describe,A1,verb
description,A1,noun
design,A1,"noun, verb"
desk,A1,noun
detail,A1,noun
dialogue,A1,noun
dictionary,A1,noun
die,A1,verb
diet,A1,noun
difference,A1,noun
different,A1,adjective
difficult,A1,adjective
dinner,A1,noun
dirty,A1,adjective
discuss,A1,verb
dish,A1,noun
do1,A1,"verb, auxiliary verb"
doctor,A1,noun
dog,A1,noun
dollar,A1,noun
door,A1,noun
down,A1,"adverb, preposition"
downstairs,A1,adverb
draw,A1,verb
dress,A1,"noun, verb"
drink,A1,"noun, verb"
drive,A1,verb
driver,A1,noun
during,A1,preposition
DVD,A1,noun
each,A1,"determiner, pronoun, adverb"
ear,A1,noun
early,A1,"adjective, adverb"
east,A1,"noun, adjective, adverb"
easy,A1,adjective
eat,A1,verb
egg,A1,noun
eight,A1,NA
eighteen,A1,NA
eighty,A1,NA
elephant,A1,noun
eleven,A1,NA
else,A1,adverb
email,A1,"noun, verb"
end,A1,"noun, verb"
enjoy,A1,verb
enough,A1,"determiner, pronoun, adverb"
euro,A1,noun
even,A1,adverb
evening,A1,noun
event,A1,noun
ever,A1,adverb
every,A1,determiner
everybody,A1,pronoun
everyone,A1,pronoun
everything,A1,pronoun
exam,A1,noun
example,A1,noun
excited,A1,adjective
exciting,A1,adjective
exercise,A1,"noun, verb"
expensive,A1,adjective
explain,A1,verb
extra,A1,adjective
eye,A1,noun
face,A1,noun
fact,A1,noun
fall,A1,verb
false,A1,adjective
family,A1,"noun, adjective"
famous,A1,adjective
fantastic,A1,adjective
far,A1,adverb
farm,A1,noun
farmer,A1,noun
fast,A1,"adjective, adverb"
fat,A1,adjective
father,A1,noun
favourite,A1,"adjective, noun"
February,A1,noun
feel,A1,verb
feeling,A1,noun
festival,A1,noun
few,A1,"determiner, adjective, pronoun"
fifteen,A1,NA
fifth,A1,NA
fifty,A1,NA
fill,A1,verb
film,A1,noun
final,A1,adjective
find,A1,verb
fine,A1,adjective
finish,A1,verb
fire,A1,noun
first,A1,"determiner, NA, adverb"
fish,A1,noun
five,A1,NA
flat,A1,noun
flight,A1,noun
floor,A1,noun
flower,A1,noun
fly,A1,verb
follow,A1,verb
food,A1,noun
foot,A1,noun
football,A1,noun
for,A1,preposition
forget,A1,verb
form,A1,"noun, verb"
forty,A1,NA
four,A1,NA
fourteen,A1,NA
fourth,A1,NA
free,A1,adjective
Friday,A1,noun
friend,A1,noun
friendly,A1,adjective
from,A1,preposition
front,A1,"noun, adjective"
fruit,A1,noun
full,A1,adjective
fun,A1,noun
funny,A1,adjective
future,A1,noun
game,A1,noun
garden,A1,noun
geography,A1,noun
get,A1,verb
girl,A1,noun
girlfriend,A1,noun
give,A1,verb
glass,A1,noun
go,A1,verb
good,A1,adjective
goodbye,A1,"exclamation, noun"
grandfather,A1,noun
grandmother,A1,noun
grandparent,A1,noun
great,A1,adjective
green,A1,"adjective, noun"
grey,A1,"adjective, noun"
group,A1,noun
grow,A1,verb
guess,A1,"verb, noun"
guitar,A1,noun
gym,A1,noun
hair,A1,noun
half,A1,"noun, determiner, pronoun"
hand,A1,noun
happen,A1,verb
happy,A1,adjective
hard,A1,"adjective, adverb"
hat,A1,noun
hate,A1,verb
have,A1,verb
have,A1,NA
he,A1,pronoun
head,A1,noun
health,A1,noun
healthy,A1,adjective
hear,A1,verb
hello,A1,"exclamation, noun"
help,A1,"verb, noun"
her,A1,"pronoun, determiner"
here,A1,adverb
hey,A1,exclamation
hi,A1,exclamation
high,A1,adjective
him,A1,pronoun
his,A1,determiner
history,A1,noun
hobby,A1,noun
holiday,A1,noun
home,A1,"noun, adverb"
homework,A1,noun
hope,A1,verb
horse,A1,noun
hospital,A1,noun
hot,A1,adjective
hotel,A1,noun
hour,A1,noun
house,A1,noun
how,A1,adverb
however,A1,adverb
hundred,A1,NA
hungry,A1,adjective
husband,A1,noun
I,A1,pronoun
ice,A1,noun
ice,A1,NA
idea,A1,noun
if,A1,conjunction
imagine,A1,verb
important,A1,adjective
improve,A1,verb
in,A1,"preposition, adverb"
include,A1,verb
information,A1,noun
interest,A1,"noun, verb"
interested,A1,adjective
interesting,A1,adjective
internet,A1,noun
interview,A1,"noun, verb"
into,A1,preposition
introduce,A1,verb
island,A1,noun
it,A1,pronoun
its,A1,determiner
jacket,A1,noun
January,A1,noun
jeans,A1,noun
job,A1,noun
join,A1,verb
journey,A1,noun
juice,A1,noun
July,A1,noun
June,A1,noun
just,A1,adverb
keep,A1,verb
key,A1,"noun, adjective"
kilometre,A1,noun
kind,A1,noun
kitchen,A1,noun
know,A1,verb
land,A1,noun
language,A1,noun
large,A1,adjective
last1,A1,determiner
late,A1,"adjective, adverb"
later,A1,adverb
laugh,A1,"verb, noun"
learn,A1,verb
leave,A1,verb
left,A1,"adjective, adverb, noun"
leg,A1,noun
lesson,A1,noun
let,A1,verb
letter,A1,noun
library,A1,noun
lie1,A1,verb
life,A1,noun
light,A1,"noun, NA"
like,A1,preposition
like,A1,verb
line,A1,noun
lion,A1,noun
list,A1,"noun, verb"
listen,A1,verb
little,A1,"adjective, determiner, pronoun"
live1,A1,verb
local,A1,adjective
long1,A1,"adjective, adverb"
look,A1,verb
lose,A1,verb
