word/phrase,type,raw_frequency,count,topic,POS,syllables,readability_score,level,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,Core Inventory,EGP,GSELO,log_freq,frequency_score
httpswwwnewsinlevelscom,word,8.001280204832773e-06,1,general,propn,3,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
httpsbreakingnewsenglishcomindexhtml,word,8.001280204832773e-06,1,general,propn,8,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
httpswwwfabulangcomenena,word,8.001280204832773e-06,1,general,noun,8,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
httpslinguacomenglishreading,word,8.001280204832773e-06,1,general,verb,5,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
httpswwwtheenglishhubforrefugeescommaterialslevela,word,8.001280204832773e-06,1,general,propn,10,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
come,word,0.0016402624419907185,205,actions,verb,1,10.0,A1,,,,,,,,-2.785086632798502,6
and,word,0.02608417346775484,3260,function_words,cconj conjunction,1,10.0,A1,COMP.and,COMPARATIVE and COMPARATIVE (the same adjective),,,,B1,B1,-1.5836229185984774,9
join,word,4.0006401024163864e-05,5,general,verb,1,10.0,A1,,,,,,,,-4.39786943043424,3
our,word,0.0011841894703152505,148,pronouns,pron determiner,2,3.66,A1,,,,,,,,-2.9265787682620252,6
lunchtime,word,1.6002560409665546e-05,2,general,noun,2,3.66,UNKNOWN,,,,,,,,-4.795807810769671,2
yoga,word,2.400384061449832e-05,3,sports,noun,2,3.66,UNKNOWN,,,,,,,,-4.619717456344684,2
class,word,0.00036805888942230755,46,education,noun,1,10.0,A1,,,,,,,,-3.434082570653909,5
with,word,0.0051928308529364696,649,function_words,adp preposition,1,10.0,A1,,,,,,,,-2.284595815167673,8
experienced,word,2.400384061449832e-05,3,general,adj adjective,4,0.0,B1,,,,,,,,-4.619717456344684,2
teacher,word,0.0003600576092174748,45,"education,work and jobs",noun,2,3.66,A1,,,,,,,,-3.4436278859380085,5
divya,word,1.6002560409665546e-05,2,general,verb,2,3.66,UNKNOWN,,,,,,,,-4.795807810769671,2
bridge,word,5.600896143382941e-05,7,"house and home, environment,music,things in the town, shops and shopping",noun,1,10.0,A2,,,,,,,,-4.251741704916048,3
when,word,0.0033285325652104335,416,function_words,"sconj adverb, pronoun, conjunction,adverb",1,10.0,A1,CL.when,ADVERBIAL CLAUSE: when,,A1.2,,A2,B1,-2.477747176657021,7
every,word,0.0011041766682669226,138,general,det determiner,3,0.0,A1,,,,,,,,-2.9569613945981805,6
tuesday,word,0.0002080332853256521,26,general,propn noun,2,3.66,A1,,,,,,,,-3.6818669635986048,4
at,word,0.00796127380380861,995,function_words,adp preposition,1,10.0,A1,,,,,,,,-2.0990174341305763,8
pm,word,0.001408225316050568,176,general,noun,2,3.66,UNKNOWN,,,,,,,,-2.8513278216773976,6
where,word,0.001024163866218595,128,function_words,"sconj adverb, conjunction,adverb",1,10.0,A1,INT.where,WH- QUESTION: Where ...?,AFF. INT./NEG. INT.,A1.3,,A2-C1,A1,-2.9896305082787387,6
meeting,word,0.00016002560409665546,20,"general,relations with other people",verb noun,2,3.66,A1,,,,,,,,-3.7958102532768714,4
room,word,0.0011921907505200832,149,"home,house and home, environment,objects and rooms",noun,1,10.0,A1,,,,,,,,-2.9236542154908456,6
how,word,0.0017122739638342134,214,function_words,sconj adverb,1,10.0,A1,EXCL.how,EXCLAMATION: How ...!,EXCLAMATION,,,,,-2.76642672161859,6
much,word,0.0009601536245799327,120,general,"adj determiner, pronoun, adverb,adverb",1,10.0,A1,QUANT.much,much UNCOUNTABLE NOUN,,A2.2,A2,A2-B2,A2,-3.0176592290519966,6
for,word,0.008209313490158425,1026,function_words,"adp preposition,conjunction",1,10.0,A1,,,,,,,,-2.0856931542653268,8
four,word,0.00048807809249479917,61,numbers,num number,1,10.0,A1,,,,,,,,-3.3115105963400997,5
minute,word,0.00040806529044647144,51,time,noun,2,3.66,A1,,,,,,,,-3.3892702378057713,5
classes,word,0.00011201792286765882,14,general,noun,2,3.66,UNKNOWN,,,,,,,,-3.9507120969524365,4
what,word,0.00328852616418627,411,function_words,"pron pronoun, determiner,determiner",1,10.0,A1,PREL.what,COMPOUND RELATIVE PRONOUN:,,A2.1,,,,-2.482998685248964,7
to,word,0.024131861097775643,3016,function_words,"part preposition, NA,infinitive-to",1,10.0,A1,,,,,,,,-1.6174091813339806,9
bring,word,0.00021603456553048487,27,general,verb,1,10.0,A1,,,,,,,,-3.6654765551423587,4
comfortable,word,7.201152184349496e-05,9,general,adj adjective,4,0.0,A2,,,,,,,,-4.142597407802213,3
clothes,word,0.0003920627300368059,49,general,noun,1,10.0,A1,,,,,,,,-3.4066443295312077,5
will,word,0.0012161945911345815,152,general,"aux modal verb,modal auxiliary",1,10.0,A1,MD.will.AFF,MODAL/AUX: will,AFF. DEC.,A2.2,A2-B2,A1-C2,A1-B1,-2.914996896677326,6
provide,word,4.0006401024163864e-05,5,general,verb,2,3.66,A2,,,,,,,,-4.39786943043424,3
the,word,0.057577212353976635,7196,function_words,det determiner,1,10.0,A1,DT.the,DEFINITE ARTICLES,,A1.1,A1-B1,A1-A2,A1,-1.2397493649035938,10
mats,word,8.001280204832773e-06,1,general,noun,1,10.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
write,word,0.000600096015362458,75,actions,verb,1,10.0,A1,,,,,,,,-3.221779184568863,5
sam,word,0.0010081613058089294,126,general,propn,1,10.0,UNKNOWN,,,,,,,,-2.9964699321359523,6
samholdenexamplecom,word,8.001280204832773e-06,1,general,propn,5,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
we,word,0.005552888462153944,694,pronouns,pron pronoun,1,10.0,A1,,,,,,,,-2.255481042055479,8
can,word,0.0052408385341654665,655,containers,"aux modal verb,modal auxiliary",1,10.0,A1,MD.can.AFF,MODAL/AUX: can,AFF. DEC.,A1.2,A1-A2,A1-C2,A1,-2.28059921205287,8
only,word,0.0014402304368698992,180,general,"adv adjective, adverb,adjective",2,3.66,A1,,,,,,,,-2.841567985073571,6
